number,CRN,Course,Title,Instructor(s),Times,Credits
1774,15345,FREN 402 001,GLOBAL FRENCH CINEMA,"Wood, Philip R.",6:30PM - 7:45PM TR ,3
1775,13325,FREN 403 001,SPECIAL TOPICS,, ,1 TO 5
1776,15346,FREN 424 001,WOMEN IN FRANCE,"Fette, Julie",2:30PM - 5:00PM R ,3
1777,15766,FREN 478 001,THE CARIBBEAN IN FRENCH,,1:00PM - 1:50PM MWF ,3
1778,13426,FREN 493 001,FALL HONOR THESIS,,,3 TO 6
1779,10739,FWIS 100 001,INTRO TO ACADEMIC WRITING,,10:00AM - 10:50AM MWF ,3
1780,10740,FWIS 100 002,INTRO TO ACADEMIC WRITING,,10:00AM - 10:50AM MWF ,3
1781,10741,FWIS 100 003,INTRO TO ACADEMIC WRITING,,11:00AM - 11:50AM MWF ,3
1782,11529,FWIS 100 004,INTRO TO ACADEMIC WRITING,,9:00AM - 9:50AM MWF ,3
1783,12758,FWIS 100 005,INTRO TO ACADEMIC WRITING,,1:00PM - 1:50PM MWF ,3
1784,10742,FWIS 100 006,INTRO TO ACADEMIC WRITING,,4:00PM - 4:50PM MWF ,3
1785,11530,FWIS 100 007,INTRO TO ACADEMIC WRITING,"Bharadwaj, Vasudha",9:25AM - 10:40AM TR ,3
1786,10743,FWIS 100 008,INTRO TO ACADEMIC WRITING,"Bharadwaj, Vasudha",10:50AM - 12:05PM TR ,3
1787,11763,FWIS 100 009,INTRO TO ACADEMIC WRITING,,9:25AM - 10:40AM TR ,3
1788,12778,FWIS 100 010,INTRO TO ACADEMIC WRITING,"Bharadwaj, Vasudha",1:00PM - 2:15PM TR ,3
1789,12777,FWIS 100 011,INTRO TO ACADEMIC WRITING,,2:30PM - 3:45PM TR ,3
1790,12906,FWIS 100 012,INTRO TO ACADEMIC WRITING,"Richardson, Laura K.",2:30PM - 3:45PM TR ,3
1791,12907,FWIS 100 013,INTRO TO ACADEMIC WRITING,"Richardson, Laura K.",4:00PM - 5:15PM TR ,3
1792,14955,FWIS 100 014,INTRO TO ACADEMIC WRITING,,10:50AM - 12:05PM TR ,3
1793,15221,FWIS 101 001,THE BIBLE IN POPULAR CULTURE,"Ogren, Brian E.",1:00PM - 3:30PM W ,3
1794,14788,FWIS 103 001,TRUE CRIME AND CRIME FICTION,"Woudstra, Els W.",10:50AM - 12:05PM TR ,3
1795,15222,FWIS 107 001,IN THE MATRIX,"Wood, Philip R.",4:00PM - 5:15PM TR ,3
1796,15223,FWIS 109 001,ART AND ENVIRONMENT,"Dib, Lina",10:50AM - 12:05PM TR ,3
1797,15224,FWIS 109 002,ART AND ENVIRONMENT,"Dib, Lina",1:00PM - 2:15PM TR ,3
1798,13997,FWIS 111 001,COLLEGE CAMPUS CULTURE,"Johnson, Amanda L.",2:30PM - 3:45PM TR ,3
1799,16014,FWIS 114 001,THE HOLY GRAIL,"Fanger, Claire L.",1:00PM - 3:30PM T ,3
1800,12569,FWIS 115 001,EXPLORING BIOLOGICAL RESEARCH,"Beason-Abmayr, Beth",10:00AM - 11:30AM MW ,3
1801,15697,FWIS 119 001,THE BEAUTY OF THE BEAST,"Cook, Nina E.",9:00AM - 9:50AM MWF ,3
1802,15699,FWIS 122 001,CONVERSATIONS WITH SOCRATES,"Mackie, Hilary S.",1:00PM - 2:15PM TR ,3
1803,15698,FWIS 128 001,THE AUTOMOBILE IN U.S. FILM,"Burch, Paul W.",4:00PM - 5:15PM TR ,3
1804,14703,FWIS 141 001,TECHNOLOGIES OF TASTE,"Woudstra, Els W.",2:30PM - 3:45PM TR ,3
1805,14704,FWIS 141 002,TECHNOLOGIES OF TASTE,"Woudstra, Els W.",4:00PM - 5:15PM TR ,3
1806,12913,FWIS 142 001,WATER AND CITIES,"Metcalf, Alida C.",9:25AM - 10:40AM TR ,3
1807,13538,FWIS 151 001,MAKING SENSE OF OURSELVES,"Nixon, Burke T.",2:00PM - 2:50PM MWF ,3
1808,13539,FWIS 151 002,MAKING SENSE OF OURSELVES,"Nixon, Burke T.",3:00PM - 3:50PM MWF ,3
1809,15225,FWIS 165 001,FAKE NEWS AND DEMOCRACY,"Herrmann, Jacob J.",9:25AM - 10:40AM TR ,3
1810,16013,FWIS 171 001,THE DEVIL AND THE WORLD,"Zaytseva, Arina",1:00PM - 1:50PM MWF ,3
1811,15787,FWIS 175 001,HORROR & RELIGION,"Daniels, DeAnna M.",4:00PM - 5:15PM TR ,3
1812,15700,FWIS 178 001,JESUS CHRIST MOVIE STAR,"DeConick, April D.",9:25AM - 10:40AM TR ,3
1813,14003,FWIS 181 001,AFRICAN AMERICAN GRAPHIC NOVEL,"Messmer, David K.",1:00PM - 2:15PM TR ,3
1814,15226,FWIS 182 001,BORDER POLITICS,"Rast, Hubert",10:00AM - 10:50AM MWF ,3
1815,15565,FWIS 188 001,ENG DESIGN & COMMUNICATION,"Hunter, Deirdre",10:50AM - 12:05PM TR ,3
1816,15566,FWIS 188 002,ENG DESIGN & COMMUNICATION,"Holmes, Kevin",10:50AM - 12:05PM TR ,3
1817,15567,FWIS 188 003,ENG DESIGN & COMMUNICATION,"Bisesti, Heather",1:00PM - 2:15PM TR ,3
1818,15227,FWIS 193 001,LAW AND JUSTICE,"Rast, Hubert",11:00AM - 11:50AM MWF ,3
1819,15228,FWIS 193 002,LAW AND JUSTICE,"Rast, Hubert",1:00PM - 1:50PM MWF ,3
1820,14685,FWIS 196 001,BUSINESS IN LITERATURE & FILM,"Pett, Scott A.",9:00AM - 9:50AM MWF ,3
1821,10673,GERM 141 001,FIRST YEAR GERMAN I,"Baig, Fatima",9:00AM - 9:50AM MWF ,3
1822,10939,GERM 141 002,FIRST YEAR GERMAN I,"Baig, Fatima",10:00AM - 10:50AM MWF ,3
1823,15387,GERM 142 001,FIRST YEAR GERMAN II,"Baig, Fatima",1:00PM - 1:50PM MWF ,3
1824,11443,GERM 263 001,SECOND YEAR GERMAN I,"Kley, Katharina",9:00AM - 9:50AM MWF ,3
1825,14263,GERM 263 002,SECOND YEAR GERMAN I,"Kley, Katharina",10:00AM - 10:50AM MWF ,3
1826,12972,GERM 280 001,HISTORY OF CINEMA AND MEDIA I,"Blumenthal-Barby, Martin",2:30PM - 3:45PM TR ,3
1827,10646,GERM 301 001,THIRD YEAR GERMAN I,"Oesmann, Astrid",1:00PM - 1:50PM MWF ,3
1828,15637,GERM 305 001,CURRENT ISSUES IN GERMAN,"Baig, Fatima",11:00AM - 11:50AM MWF ,3
1829,15445,GERM 324 001,"BERLIN:RESIDENCE,METRO,CAPITAL",,4:00PM - 6:30PM T ,3
1830,15458,GERM 326 001,GERMAN FAIRY TALE: OLD & NEW,,4:00PM - 5:15PM MW ,3
1831,14048,GERM 335 001,GERMAN FILM (IN ENGLISH),"Blumenthal-Barby, Martin",1:00PM - 2:15PM TR ,3
1832,15761,GERM 399 001,THE GERMAN STUDIES INTERNSHIP,"Oesmann, Astrid", ,3
1833,15459,GERM 401 001,TOPICS IN GERMAN,,4:00PM - 6:30PM T ,1 TO 3
1834,12871,GERM 541 001,1ST YR GERMAN I FOR GRAD STUD,"Kley, Katharina",11:00AM - 11:50AM MWF  ,3
1835,10626,GLBL 501 001,GLOBAL SYSTEMS I,"Payan, Tony",6:00PM - 9:00PM T  ,3
1836,10627,GLBL 507 001,DECISION MAKING UNCERTAINTY,"Birenbaum, Cory S.",6:00PM - 9:00PM R  ,3
1837,11367,GLBL 523 001,QUANTITATIVE APPLICATIONS,"Potter, Daniel J.",5:30PM - 8:30PM M  ,3
1838,15302,GLBL 531 001,CHANGE IN WORLD POLITICS,"Fang, Songying",6:00PM - 9:00PM M  ,3
1839,12245,GLBL 533 001,SUSTAINABILITY & GLOBAL ISSUES,"Cruz, Ivonne C.",6:00PM - 9:00PM T  ,3
1840,11369,GLBL 543 001,ENERGY GEOPOLITICS,"Krane, James M.",6:00PM - 9:00PM W  ,3
1841,14279,GLBL 551 001,CYBERPOLITIK,"Bronk, Chris",  ,3
1842,11144,GLBL 553 001,INTERNATIONAL CRISIS MGMT,"McHugh, Scott E.",6:00PM - 8:30PM R  ,3
1843,13469,GLBL 555 001,MIDDLE EAST SECURITY & HUMAN R,"Norman, Kelsey P.Coates Ulrichsen, Kristian",6:00PM - 9:00PM T ,3
1844,11857,GLHT 007 001,VISITING RESEARCH,"Bond, Meaghan M.Mirabal, Yvette N.", ,0
1845,11858,GLHT 007 002,VISITING RESEARCH,"Bond, Meaghan M.Mirabal, Yvette N.", ,0
1846,10299,GLHT 201 001,INTRO TO GLOBAL HEALTH,"Taylor, Ashley R.",2:30PM - 3:45PM TR ,3
1847,11671,GLHT 314 001,SUST WTR PURIF FOR DEV WORLD,"Loyo Rosales, Jorge E.",11:00AM - 12:15PM MW ,3
1848,14903,GLHT 392 001,NEEDS FINDING & DEV IN BIOE,"Ghosn, Bilal",1:00PM - 2:15PM TR ,3
1849,10247,GLHT 400 001,GLHT INDEPENDENT RESEARCH,"Bond, Meaghan M.Taylor, Ashley R.", ,1 TO 3
1850,10420,GLHT 401 001,GLHT RESEARCH REPORTING,"Richards-Kortum, Rebecca R.", ,1
1851,12712,GLHT 449 004,MED BIOENGINEERING WORKSHOP,"Abidi, Sabia Z.",1:00PM - 5:59PM T ,1
1852,10300,GLHT 451 001,GLOBAL HEALTH DESIGN I,"Nejad, JasmineAbidi, Sabia Z.",8:30AM - 9:50AM MWF ,3
1853,10198,GREE 101 001,ELEMENTARY GREEK I,"Mackie, Hilary S.",2:00PM - 2:50PM MWF ,3
1854,15652,GREE 310 001,ADVANCED GREEK LANG. AND LIT.,"Yunis, Harvey",2:30PM - 3:45PM TR ,3
1855,15347,GREE 492 001,DIRECTED READING,,,3
1856,15662,GREE 510 001,ADVANCED GREEK LANG. AND LIT.,"Yunis, Harvey",2:30PM - 3:45PM TR  ,3
1857,15250,HART 115 001,MONUMENTS AND METHODS,"Bader, Graham P.",9:25AM - 10:40AM TR ,3
1858,15638,HART 202 001,"MODERN ART IN EUROPE,1900-1945","Hughes, Gordon A.",7:00PM - 9:30PM W ,3
1859,15623,HART 203 001,GLOBAL MODERNISM,"Lopez Duran, Maria FabiolaHughes, Gordon A.",4:00PM - 6:30PM R ,3
1860,15636,HART 204 001,BLACK ART IN AMERICA,"Young, Olivia K.",3:00PM - 5:30PM W ,3
1861,15502,HART 209 001,BEGINNING DIGITAL PHOTOGRAPHY,"Winningham, Geoffrey L.",10:50AM - 12:05PM TR ,3
1862,15503,HART 209 004,BEGINNING DIGITAL PHOTOGRAPHY,"Winningham, Geoffrey L.",4:00PM - 5:15PM TR ,3
1863,15504,HART 209 005,BEGINNING DIGITAL PHOTOGRAPHY,"Chen, Angela",3:00PM - 5:30PM M ,3
1864,11365,HART 225 001,INTRO ARCHITECTURAL THINKING,"Geiser, Reto",9:25AM - 10:40AM TR ,3
1865,15635,HART 241 001,ARTS OF RENAISSANCE EUROPE,"Manca, Joseph P.",2:00PM - 2:50PM MWF ,3
1866,10514,HART 280 001,HISTORY & AESTHETICS OF FILM,"Dove, Charles",1:00PM - 4:50PM M ,4
1867,11553,HART 300 001,MUSEUM INTERNSHIP I - MENIL,"Costello, Leo", ,3
1868,11562,HART 300 002,MUSEUM INTERNSHIP I - MFAH,"Costello, Leo", ,3
1869,12027,HART 300 003,MUSEUM INTERNSHIP I,"Costello, Leo", ,3
1870,14786,HART 301 001,MUSEUM INTERNSHIP II - MENIL,"Costello, Leo", ,1 TO 6
1871,15634,HART 321 001,"AMERICAN ART, 1800-1920","Manca, Joseph P.",10:50AM - 12:05PM TR ,3
1872,15570,HART 328 001,EPIPHANIES,"Brennan, Marcia G.",1:00PM - 3:50PM M ,3
1873,15252,HART 358 001,IMPRESSIONISM/POST-IMP,"Costello, Leo",1:00PM - 3:30PM R ,3
1874,15633,HART 366 001,RADICAL BLACK THOUGHT IN ART,"Young, Olivia K.",4:00PM - 6:30PM T ,3
1875,15494,HART 380 001,SURVEY OF AMER FILM & CULTURE,"Derrick, Scott S.",2:30PM - 3:45PM TR ,3
1876,15254,HART 389 001,JUSTICE AND CINEMA,"Oukaderova, Lida",1:00PM - 3:30PM T ,3
1877,12638,HART 400 001,BAYOU BEND UG INTERNSHIP I,"Manca, Joseph P.", ,3
1878,11734,HART 402 001,HONORS THESIS,"Crawford-Brown, Sophie A.", ,3
1879,12023,HART 402 002,HONORS THESIS,, ,3
1880,12024,HART 402 003,HONORS THESIS,, ,3
1881,12122,HART 402 004,HONORS THESIS,, ,3
1882,11552,HART 501 002,MUSEUM INTERNSHIP,"Costello, Leo",  ,1 TO 4
1883,11563,HART 503 001,GRADUATE RESEARCH PAPER,"Bader, Graham P.",  ,3
1884,11564,HART 503 002,GRADUATE RESEARCH PAPER,"Costello, Leo",  ,3
1885,11565,HART 503 005,GRADUATE RESEARCH PAPER,"Emami, Farshid",  ,3
1886,11566,HART 503 006,GRADUATE RESEARCH PAPER,"Hughes, Gordon A.",  ,3
1887,11567,HART 503 007,GRADUATE RESEARCH PAPER,"Lopez Duran, Maria Fabiola",  ,3
1888,11568,HART 503 008,GRADUATE RESEARCH PAPER,"Manca, Joseph P.",  ,3
1889,11569,HART 503 010,GRADUATE RESEARCH PAPER,"Oukaderova, Lida",  ,3
1890,11570,HART 504 001,INDEPENDENT STUDY,"Bader, Graham P.",  ,3 TO 6
1891,11571,HART 504 002,INDEPENDENT STUDY,"Costello, Leo",  ,3 TO 6
1892,11572,HART 504 005,INDEPENDENT STUDY,"Emami, Farshid",  ,3 TO 6
1893,11573,HART 504 006,INDEPENDENT STUDY,"Hughes, Gordon A.",  ,3 TO 6
1894,11574,HART 504 007,INDEPENDENT STUDY,"Lopez Duran, Maria Fabiola",  ,3 TO 6
1895,11575,HART 504 008,INDEPENDENT STUDY,"Manca, Joseph P.",  ,3 TO 6
1896,11576,HART 504 010,INDEPENDENT STUDY,"Oukaderova, Lida",  ,3 TO 6
1897,15029,HART 504 011,INDEPENDENT STUDY,"Crawford-Brown, Sophie A.",  ,3 TO 6
1898,13755,HART 506 001,FOUNDATIONS IN ARCH II,,10:50AM - 12:05PM TR ,3
1899,15649,HART 521 001,"AMERICAN ART, 1800-1920","Manca, Joseph P.",10:50AM - 12:05PM TR ,3
1900,11366,HART 545 001,INTRO ARCHITECTURAL THINKING,"Geiser, Reto",9:25AM - 10:40AM TR  ,3
1901,15253,HART 558 001,IMPRESSIONISM/POST-IMP,"Costello, Leo",1:00PM - 3:30PM R ,3
1902,15255,HART 589 001,JUSTICE AND CINEMA,"Oukaderova, Lida",1:00PM - 3:30PM T ,3
1903,14188,HART 590 001,METHODS OF ART HISTORY,"Costello, Leo",1:00PM - 3:30PM F ,3
1904,11158,HART 600 001,PREPARATION FOR CANDIDACY I,"Bader, Graham P.",  ,3 TO 9
1905,11159,HART 600 002,PREPARATION FOR CANDIDACY I,"Costello, Leo",  ,3 TO 9
1906,11160,HART 600 005,PREPARATION FOR CANDIDACY I,"Emami, Farshid",  ,3 TO 9
1907,11161,HART 600 006,PREPARATION FOR CANDIDACY I,"Hughes, Gordon A.",  ,3 TO 9
1908,11162,HART 600 007,PREPARATION FOR CANDIDACY I,"Lopez Duran, Maria Fabiola",  ,3 TO 9
1909,11167,HART 600 008,PREPARATION FOR CANDIDACY I,"Manca, Joseph P.",  ,3 TO 9
1910,11205,HART 600 010,PREPARATION FOR CANDIDACY I,"Oukaderova, Lida",  ,3 TO 9
1911,11577,HART 601 001,PREPARATION FOR CANDIDACY II,"Bader, Graham P.",  ,3 TO 9
1912,11578,HART 601 002,PREPARATION FOR CANDIDACY II,"Manca, Joseph P.",  ,3 TO 9
1913,11579,HART 601 005,PREPARATION FOR CANDIDACY II,"Emami, Farshid",  ,3 TO 9
1914,11580,HART 601 006,PREPARATION FOR CANDIDACY II,"Hughes, Gordon A.",  ,3 TO 9
1915,11581,HART 601 007,PREPARATION FOR CANDIDACY II,"Lopez Duran, Maria Fabiola",  ,3 TO 9
1916,11582,HART 601 008,PREPARATION FOR CANDIDACY II,"Costello, Leo",  ,3 TO 9
1917,11583,HART 601 010,PREPARATION FOR CANDIDACY II,"Oukaderova, Lida",  ,3 TO 9
1918,10698,HART 603 001,BAYOU BEND GRAD INTERNSHIP I,"Manca, Joseph P.",  ,3
1919,11149,HART 800 001,DISSERTATION RESEARCH,"Bader, Graham P.",  ,1 TO 9
1920,11150,HART 800 002,DISSERTATION RESEARCH,"Costello, Leo",  ,1 TO 9
1921,11163,HART 800 005,DISSERTATION RESEARCH,"Emami, Farshid",  ,1 TO 9
1922,11164,HART 800 006,DISSERTATION RESEARCH,"Hughes, Gordon A.",  ,1 TO 9
1923,11165,HART 800 007,DISSERTATION RESEARCH,"Lopez Duran, Maria Fabiola",  ,1 TO 9
1924,11166,HART 800 008,DISSERTATION RESEARCH,"Manca, Joseph P.",  ,1 TO 9
1925,10718,HEAL 103 002,NUTRITION,"Anding, Roberta H.",9:25AM - 10:40AM TR ,3
1926,13399,HEAL 132 001,MEDICAL TERMINOLOGY,"Kabiri, Laura S.",2:30PM - 3:45PM TR ,3
1927,10107,HEAL 222 001,PRIN PUBLIC&COMMHEALTH,"Diep, Cassandra S.",9:00AM - 9:50AM MWF ,3
1928,15203,HEAL 279 001,HEAL INTERNSHIP,"Diep, Cassandra S.", ,3
1929,11500,HEAL 379 003,INTERNSHIP IN HEALTH SCIENCES,"Diep, Cassandra S.", ,1 TO 3
1930,12766,HEAL 380 002,DISPARITIES IN HEALTH IN AMER,"Diep, Cassandra S.",1:00PM - 2:15PM TR ,3
1931,12767,HEAL 407 002,EPIDEMIOLOGY,"Diep, Cassandra S.",2:30PM - 3:45PM TR ,3
1932,10109,HEAL 460 001,PLAN/EVAL: HEALTH PROGRAMS,,11:00AM - 12:15PM MW ,3
1933,10318,HEAL 495 002,INDEPENDENT RESEARCH,"Perkins, Heidi Y.", ,1 TO 3
1934,11499,HEAL 495 003,INDEPENDENT RESEARCH,"Diep, Cassandra S.", ,1 TO 3
1935,10262,HEAL 499 002,TEACH PRACTICUM HEALTH SCIENCE,"Perkins, Heidi Y.", ,1 TO 3
1936,10110,HEAL 499 003,TEACH PRACTICUM HEALTH SCIENCE,"Anding, Roberta H.", ,1 TO 3
1937,11498,HEAL 499 006,TEACH PRACTICUM HEALTH SCIENCE,"Diep, Cassandra S.", ,1 TO 3
1938,14027,HEAL 499 009,TEACH PRACTICUM HEALTH SCIENCE,"Bryant, Loren", ,1 TO 3
1939,12768,HEAL 507 002,EPIDEMIOLOGY,"Diep, Cassandra S.",2:30PM - 3:45PM TR ,3
1940,12769,HEAL 580 002,DISPARITIES IN HEALTH IN AMER,"Diep, Cassandra S.",1:00PM - 2:15PM TR ,3
1941,15487,HEBR 125 001,INTRO TO BIBLICAL HEBREW I,"Henze, Matthias",10:50AM - 12:05PM TR ,3
1942,12915,HIST 101 001,"MODERN EUROPE, 1500-1789","Pollnitz, Aysha E.",10:00AM - 10:50AM MWF ,3
1943,14004,HIST 117 001,EARLY AMERICA TO THE CIVIL WAR,"Sidbury, James",9:00AM - 9:50AM MWF ,3
1944,15667,HIST 120 001,MEDIEVAL CIVILIZATIONS,"Irish, Maya S.",11:00AM - 11:50AM MWF ,3
1945,15811,HIST 217 001,HISTORY: THE WORKSHOP,,3:00PM - 3:50PM MWF ,3
1946,15304,HIST 237 001,RADICALS IN THE AMERICAS,"Correa Ochoa, Laura",1:00PM - 1:50PM MWF ,3
1947,14009,HIST 256 001,"EUR POLITICS&SOCIETY,1890-1945","Cohen, Daniel",4:00PM - 5:15PM TR ,3
1948,15305,HIST 259 001,US IN THE 1960s AND 70s,"Brinkley, Douglas",9:25AM - 10:40AM TR ,3
1949,15444,HIST 275 001,MODERN MIDDLE EAST,"Citino, Nathan J.",10:00AM - 10:50AM MWF ,3
1950,15306,HIST 291 001,20TH C. AMERICAN PRESIDENTS,"Brinkley, Douglas",1:00PM - 2:15PM TR ,3
1951,12927,HIST 312 001,ENVIRONMENT & HEALTH IN LAT AM,"Lopez Alonso, Moramay",10:00AM - 10:50AM MWF ,3
1952,15308,HIST 314 001,HISTORY OF AI,"Petrick, Elizabeth R.",1:00PM - 2:15PM TR ,3
1953,15443,HIST 319 001,ATOMIC AMERICA,"Campos, Luis A.",4:00PM - 5:15PM TR ,3
1954,14012,HIST 331 001,THE CUBAN REVOLUTION,"Suarez-Potts, William",10:50AM - 12:05PM TR ,3
1955,15312,HIST 332 001,AMERICAN LEGAL HISTORY,"Suarez-Potts, William",2:30PM - 3:45PM TR ,3
1956,15313,HIST 338 001,19TH C. WOMEN'S NARRATIVES,"Yarbrough, Fay A.",10:50AM - 12:05PM TR ,3
1957,15442,HIST 340 001,HISTORY OF FEMINISM,"Wildenthal, Lora J.",4:00PM - 5:15PM TR ,3
1958,15618,HIST 354 001,RACE IN LATIN AMERICA,"Correa Ochoa, Laura",2:00PM - 2:50PM MWF ,3
1959,15509,HIST 372 001,IMMIGRATION AND THE STATE,"Cohen, Daniel",9:25AM - 10:40AM TR  ,3
1960,14372,HIST 380 001,ASIAN AMERICAN HISTORY,"Lu, Sidney",10:50AM - 12:05PM TR ,3
1961,15315,HIST 387 001,U.S. IN THE WORLD: 1750-1900,"Shimizu, Sayuri G.",1:00PM - 2:15PM TR ,3
1962,15624,HIST 391 001,QUEER HISTORY,"Campos, Luis A.",2:30PM - 3:45PM TR ,3
1963,12631,HIST 403 002,ADVANCED RESEARCH SEMINAR,,6:30PM - 9:00PM W ,3
1964,15441,HIST 428 001,SLAVERY & HUMAN TRAFFICKING,"Ward, Kerry R.",4:00PM - 5:15PM MW ,3
1965,15627,HIST 438 001,"THE MEDIEVAL CITY, 300-1500","Irish, Maya S.",1:00PM - 3:30PM F ,3
1966,15628,HIST 480 001,HISTORY OF MEDICINE,"Lopez Alonso, Moramay",2:00PM - 4:30PM W ,3
1967,15319,HIST 505 001,THE ATLANTIC SLAVE TRADE,"Domingues da Silva, Daniel B.",2:00PM - 4:30PM F ,3
1968,15440,HIST 536 001,AMERICA & THE WORLD,"Shimizu, Sayuri G.",3:00PM - 5:30PM W ,3
1969,15639,HIST 566 001,"NORTH AMERICA, 1500-1800","Sidbury, James",2:30PM - 5:00PM M ,3
1970,15439,HIST 570 001,U.S. ENVIRONMENTAL HISTORY,"Hall, Randal L.",2:30PM - 5:00PM T ,3
1971,15438,HIST 575 001,INTRO DOCTORAL STUDIES,"Metcalf, Alida C.",1:00PM - 3:30PM R ,3
1972,10227,HIST 800 003,PH.D. RESEARCH,"Sidbury, James",  ,9 TO 12
1973,11284,HIST 800 008,PH.D. RESEARCH,"McDaniel, Caleb",  ,9 TO 12
1974,11545,HIST 800 010,PH.D. RESEARCH,"Yarbrough, Fay A.",  ,9 TO 12
1975,12098,HIST 800 012,PH.D. RESEARCH,"Hall, Randal L.", ,9 TO 12
1976,12615,HIST 800 013,PH.D. RESEARCH,"Domingues da Silva, Daniel B.",  ,9 TO 12
1977,10319,HONS 470 001,UNDERGRAD SCHOLARS PROGRAM,"Purugganan, Mary",5:00PM - 6:15PM R ,1
1978,15498,HUMA 107 001,GREEK CIVILIZATION & LEGACY,"Yunis, Harvey",1:00PM - 2:15PM TR ,3
1979,15690,HUMA 134 001,WHAT IS LOVE?,"Ryang, SoniaGershon, Ilana",9:25AM - 10:40AM TR ,3
1980,10118,HUMA 201 001,PUBLIC SPEAKING,"Worth, David S.",10:50AM - 12:05PM TR ,3
1981,10373,HUMA 210 001,FORENSICS PRACTICUM,"LaBove, Shannon D.",6:30PM - 9:00PM T ,1
1982,10119,HUMA 309 001,ARGUMENTATION & DEBATE,"Worth, David S.",1:00PM - 2:15PM TR ,3
1983,10120,HUMA 310 001,ADVANCED FORENSICS PRACTICUM,"Worth, David S.",4:50PM - 7:50PM T ,1
1984,12809,HUMA 315 001,COMMUNICATION LAW,"LaBove, Shannon D.",2:30PM - 3:45PM TR  ,3
1985,15506,HUMA 324 001,"BERLIN:RESIDENCE,METRO,CAPITAL",,4:00PM - 6:30PM T ,3
1986,15507,HUMA 372 001,GERMAN FAIRY TALE: OLD & NEW,,4:00PM - 5:15PM MW ,3
1987,15794,HUMA 498 001,RUSSIAN LANG FOR SPECIAL GOALS,"Moskvitina, Larisa I.", ,1 TO 3
1988,15632,HUMA 501 001,MELLON GRADUATE SEMINAR I,,1:00PM - 3:30PM F ,3
1989,11917,INDE 501 001,FUND INDUSTRIAL ENGINEERING,"Tekin, Eylem",10:50AM - 12:05PM TR  ,3
1990,14695,INDE 513 001,OPER RES IN HEALTHCARE,"Saedi, Samira",4:00PM - 6:30PM R  ,3
1991,12539,INDE 543 001,MANUFACTURING PROC AND SYS,"Tekin, Eylem",1:00PM - 2:15PM TR  ,3
1992,11918,INDE 545 001,PRESCRIPTIVE ANALYTICS,"Jones, Bo",9:25AM - 10:40AM TR  ,3
1993,15833,INDE 567 003,OPT METHODS IN FINANCE,"Ma, Shiqian",2:00PM - 4:29PM F  ,3
1994,12820,INDE 571 001,PROB & STATISTICAL INFERENCE,"Hosseinian, Mohammad",1:00PM - 3:30PM T  ,3
1995,13594,INDE 577 001,DATA SCI & MACHINE LEARNING,"Davila, Randy R.",1:00PM - 3:30PM F  ,3
1996,12728,INDE 590 001,MIE CAPSTONE EXPERIENCE,"Tekin, Eylem",  ,1
1997,13595,INDE 597 002,REVENUE MGMT & DYNAMIC PRICING,"Walczak, Darius",4:00PM - 6:30PM T  ,3
1998,12799,ITAL 141 001,FIRST YEAR ITALIAN I,"Giliberti, Maria C.",2:00PM - 2:50PM MWF  ,3
1999,15011,ITAL 141 002,FIRST YEAR ITALIAN I,"Giliberti, Maria C.",1:00PM - 1:50PM MWF  ,3
2000,12797,ITAL 263 001,SECOND YEAR ITALIAN I,,3:00PM - 3:50PM MWF  ,3
2001,15824,ITAL 301 001,THIRD YEAR ITALIAN I,"Giliberti, Maria C.",3:00PM - 3:50PM MWF ,3
2002,10674,JAPA 141 001,FIRST YEAR JAPANESE I,"Takayama, Hiromi",9:00AM - 9:50AM MWF ,3
2003,10700,JAPA 141 002,FIRST YEAR JAPANESE I,"Takayama, Hiromi",10:00AM - 10:50AM MWF ,3
2004,10714,JAPA 141 003,FIRST YEAR JAPANESE I,"Suzuki, Mamiko",10:00AM - 10:50AM MWF ,3
2005,13948,JAPA 141 004,FIRST YEAR JAPANESE I,"Suzuki, Mamiko",11:00AM - 11:50AM MWF ,3
2006,14632,JAPA 263 001,SECOND YEAR JAPANESE I,"Ozaki, Naoko",9:00AM - 9:50AM MWF ,3
2007,15388,JAPA 263 002,SECOND YEAR JAPANESE I,"Ozaki, Naoko",10:00AM - 10:50AM MWF ,3
2008,13949,JAPA 301 001,THIRD YEAR JAPANESE I,"Takayama, Hiromi",11:00AM - 11:50AM MWF ,3
2009,12026,JAPA 301 002,THIRD YEAR JAPANESE I,"Suzuki, Mamiko",2:00PM - 2:50PM MWF ,3
2010,14633,JAPA 401 002,FOURTH YEAR JAPANESE I,"Ozaki, Naoko",11:00AM - 11:50AM MWF ,3
2011,14235,KINE 120 003,FOUNDATIONS OF KINESIOLOGY,"Perkins Ball, Amanda M.",4:00PM - 5:15PM MW ,3
2012,15204,KINE 275 001,KINE INTERNSHIP,"Agha, Nadia H.", ,3
2013,15205,KINE 275 002,KINE INTERNSHIP,"Kabiri, Laura S.", ,3
2014,15206,KINE 275 003,KINE INTERNSHIP,"Perkins Ball, Amanda M.", ,3
2015,15207,KINE 275 004,KINE INTERNSHIP,"Rodriguez, Augusto X.", ,3
2016,10111,KINE 300 001,HUMAN ANATOMY WITH LAB,"Schell, Wendy E.",8:00AM - 9:15AM TR 8:00AM - 8:50AM W ,4
2017,10598,KINE 301 002,HUMAN PHYSIOLOGY,"Kabiri, Laura S.",9:25AM - 10:40AM TR ,3
