number,CRN,Course,Title,Instructor(s),Times,Credits
1041,10348,COLL 200 006,TEACHING PRACTICUM - LOVETT,"Gustin, Michael", ,1
1042,10349,COLL 200 007,TEACHING PRACTICUM - MARTEL,"Domingues da Silva, Daniel B.", ,1
1043,10350,COLL 200 008,TEACHING PRACTICUM - MCMURTRY,"Bratter, Jenifer L.", ,1
1044,10351,COLL 200 009,TEACHING PRACTICUM - WILL RICE,"Bennett, Matthew", ,1
1045,10352,COLL 200 010,TEACHING PRACTICUM - SID RICH,"Marschall, Melissa J.", ,1
1046,10353,COLL 200 011,TEACHING PRACTICUM - WIESS,"Cunha, Flavio A.", ,1
1047,10407,COLL 200 012,TEACHING PRACT FYF PEER GUIDES,"Lopez, Araceli", ,1
1048,12784,COLL 300 001,PEDAGOGY FOR STDNT INSTRUCTORS,,4:00PM - 5:30PM T ,1
1049,13729,COMM 601 001,ORAL COMMUNICATION SKILLS,,12:00PM - 1:45PM M ,2
1050,14867,COMM 601 002,ORAL COMMUNICATION SKILLS,,3:00PM - 4:45PM W ,2
1051,11712,COMP 007 001,VISITING RESEARCH,"Budimlic, Zoran", ,0
1052,11713,COMP 007 002,VISITING RESEARCH,"Kavraki, Lydia E.", ,0
1053,11714,COMP 007 003,VISITING RESEARCH,"Jermaine, Christopher M.", ,0
1054,11715,COMP 007 004,VISITING RESEARCH,"Raphael, Rob", ,0
1055,11716,COMP 007 005,VISITING RESEARCH,"Shrivastava, Anshumali", ,0
1056,11717,COMP 007 006,VISITING RESEARCH,"Knightly, Edward W.", ,0
1057,11718,COMP 007 007,VISITING RESEARCH,"Kyrillidis, Tasos", ,0
1058,11744,COMP 007 008,VISITING RESEARCH,"Subramanian, Devika", ,0
1059,11745,COMP 007 009,VISITING RESEARCH,"Segarra, Santiago", ,0
1060,11769,COMP 007 010,VISITING RESEARCH,"Mamouras, Konstantinos", ,0
1061,11930,COMP 007 011,VISITING RESEARCH,"Veeraraghavan, Ashok", ,0
1062,11931,COMP 007 012,VISITING RESEARCH,"Nakhleh, Luay", ,0
1063,12087,COMP 007 013,VISITING RESEARCH,"Ng, T. S. Eugene", ,0
1064,14696,COMP 007 014,VISITING RESEARCH,"Unhelkar, Vaibhav", ,0
1065,14706,COMP 007 015,VISITING RESEARCH,"Kavraki, Lydia E.", ,0
1066,14766,COMP 007 016,VISITING RESEARCH,"Ordonez Roman, Vicente", ,0
1067,14946,COMP 007 017,VISITING RESEARCH,"Ordonez Roman, Vicente", ,0
1068,14948,COMP 007 018,VISITING RESEARCH,"Shrivastava, Anshumali", ,0
1069,14949,COMP 007 019,VISITING RESEARCH,"Shrivastava, Anshumali", ,0
1070,14950,COMP 007 020,VISITING RESEARCH,"Kyrillidis, Tasos", ,0
1071,14951,COMP 007 021,VISITING RESEARCH,"Kyrillidis, Tasos", ,0
1072,14952,COMP 007 022,VISITING RESEARCH,"Ogilvie, Huw A.", ,0
1073,14953,COMP 007 023,VISITING RESEARCH,"Ogilvie, Huw A.", ,0
1074,14954,COMP 007 024,VISITING RESEARCH,"Ogilvie, Huw A.", ,0
1075,11740,COMP 105 001,AP/OTH CREDIT COMPUTER SCIENCE,"Cox, Alan L.", ,3
1076,13529,COMP 140 001,COMPUTATIONAL THINKING,"Johnson, Dave",2:30PM - 3:45PM TR  ,4
1077,13531,COMP 140 002,COMPUTATIONAL THINKING,,10:50AM - 12:05PM TR  ,4
1078,13530,COMP 140 003,COMPUTATIONAL THINKING,"Myers, Risa B.",1:00PM - 2:15PM TR  ,4
1079,13532,COMP 140 004,COMPUTATIONAL THINKING,"Johnson, Dave",9:25AM - 10:40AM TR  ,4
1080,13552,COMP 140 901,COMPUTATIONAL THINKING,"Orooji, Marmar",7:00PM - 8:15PM TR FULLY ONLINE ,4
1081,15520,COMP 182 003,ALGORITHMIC THINKING,"Kyrillidis, Tasos",10:50AM - 12:05PM TR ,4
1082,13528,COMP 215 001,INTRODUCTION TO PROGRAM DESIGN,"Schreib, Rebecca J.",9:00AM - 9:50AM MWF ,4
1083,13527,COMP 215 002,INTRODUCTION TO PROGRAM DESIGN,"Schreib, Rebecca J.",10:00AM - 10:50AM MWF ,4
1084,14283,COMP 215 003,INTRODUCTION TO PROGRAM DESIGN,"Schreib, Rebecca J.",1:00PM - 1:50PM MWF ,4
1085,11950,COMP 215 004,INTRODUCTION TO PROGRAM DESIGN,"Schreib, Rebecca J.",2:00PM - 2:50PM MWF ,4
1086,10007,COMP 290 001,COMPUTER SCIENCE PROJECTS,"Wong, Stephen B.", ,1 TO 3
1087,11758,COMP 290 002,COMPUTER SCIENCE PROJECTS,"Patel, Ankit B.", ,1 TO 3
1088,12839,COMP 290 003,COMPUTER SCIENCE PROJECTS,"St. Pierre, Francois", ,1 TO 3
1089,14737,COMP 290 004,COMPUTER SCIENCE PROJECTS,"Hang, Kaiyu", ,1 TO 3
1090,11922,COMP 301 001,COMPUTER ETHICS,"Ferreira Flores, Rodrigo",4:00PM - 5:15PM TR ,3
1091,14624,COMP 310 001,ADV OBJECT-ORIENTED PROG,"Wong, Stephen B.",1:00PM - 1:50PM MWF 1:00PM - 2:15PM T ,4
1092,14625,COMP 310 002,ADV OBJECT-ORIENTED PROG,"Wong, Stephen B.",1:00PM - 1:50PM MWF 4:00PM - 5:15PM T ,4
1093,10668,COMP 311 001,FUNCTIONAL PROGRAMMING,"Cartwright, Robert S.",9:25AM - 10:40AM TR ,4
1094,15653,COMP 318 001,CONCURRENT PROGRAM DESIGN,"Rixner, Scott",10:00AM - 10:50AM MWF ,4
1095,14256,COMP 321 001,INTRO TO COMPUTER SYSTEMS,"Chen, Ang",1:00PM - 2:15PM R 2:30PM - 3:45PM TR ,4
1096,10205,COMP 326 001,DIGITAL LOGIC DESIGN,"Varman, Peter J.",10:50AM - 12:05PM TR ,3
1097,14423,COMP 341 001,PRACTICAL MACHINE LEARNING,"Yao, Vicky",4:00PM - 5:15PM TR ,3
1098,11155,COMP 382 002,REASONING ABOUT ALGORITHMS,"Burke, MikeMamouras, Konstantinos",10:50AM - 12:05PM TR 4:00PM - 5:15PM R  ,4
1099,11156,COMP 382 003,REASONING ABOUT ALGORITHMS,"Burke, MikeMamouras, Konstantinos",10:50AM - 12:05PM TR 5:30PM - 6:45PM R  ,4
1100,10354,COMP 390 001,COMPUTER SCIENCE PROJECTS,"Nakhleh, Luay", ,1 TO 3
1101,10882,COMP 390 002,COMPUTER SCIENCE PROJECTS,"Wallach, Dan S.", ,1 TO 3
1102,10883,COMP 390 003,COMPUTER SCIENCE PROJECTS,"St. Pierre, Francois", ,1 TO 3
1103,10884,COMP 390 004,COMPUTER SCIENCE PROJECTS,"Ng, T. S. Eugene", ,1 TO 3
1104,11220,COMP 390 005,COMPUTER SCIENCE PROJECTS,"Cox, Alan L.", ,1 TO 3
1105,11538,COMP 390 006,COMPUTER SCIENCE PROJECTS,"Vardi, Moshe Y.", ,1 TO 3
1106,11549,COMP 390 007,COMPUTER SCIENCE PROJECTS,"Subramanian, Devika", ,1 TO 3
1107,11726,COMP 390 008,COMPUTER SCIENCE PROJECTS,"Kavraki, Lydia E.", ,1 TO 3
1108,11773,COMP 390 009,COMPUTER SCIENCE PROJECTS,"Unhelkar, Vaibhav", ,1 TO 3
1109,11784,COMP 390 010,COMPUTER SCIENCE PROJECTS,"Lieberman-Aiden, Erez", ,1 TO 3
1110,12033,COMP 390 011,COMPUTER SCIENCE PROJECTS,"Wong, Stephen B.", ,1 TO 3
1111,12108,COMP 390 012,COMPUTER SCIENCE PROJECTS,"Cutler, Scott E.", ,1 TO 3
1112,12112,COMP 390 013,COMPUTER SCIENCE PROJECTS,"Treangen, Todd J.", ,1 TO 3
1113,12135,COMP 390 014,COMPUTER SCIENCE PROJECTS,"Dautenhahn, Nathan D.", ,1 TO 3
1114,13727,COMP 390 015,COMPUTER SCIENCE PROJECTS,"Johnson, Dave", ,1 TO 3
1115,14714,COMP 390 016,COMPUTER SCIENCE PROJECTS,"Chen, Ang", ,1 TO 3
